%mMulti_NoLocks
1,1429733501179,1429733793005,291826
2,1429733793014,1429733929105,136091
3,1429733929112,1429734019855,90743
4,1429734019864,1429734095009,75145
5,1429734095018,1429734190163,95145
6,1429734190171,1429734283582,93411
7,1429734283590,1429734365947,82357
8,1429734365956,1429734450566,84610
9,1429734450575,1429734536800,86225
10,1429734536809,1429734624731,87922
11,1429734624759,1429734709531,84772
12,1429734709563,1429734794832,85269
13,1429734794859,1429734879107,84248
14,1429734879135,1429734962373,83238
15,1429734962403,1429735040857,78454
16,1429735040866,1429735078315,37449
17,1429735078321,1429735115816,37495
18,1429735115825,1429735157006,41181
19,1429735157013,1429735198005,40992
20,1429735198014,1429735238482,40468
%mMulti_NoLocks
1,1429801753374,1429802537641,784267
2,1429802537658,1429803030026,492368
3,1429803030054,1429803499774,469720
4,1429803499794,1429803665373,165579
5,1429803665382,1429803751891,86509
6,1429803751900,1429803830897,78997
7,1429803830906,1429803902818,71912
8,1429803902826,1429803972238,69412
9,1429803972247,1429804036861,64614
10,1429804036871,1429804099097,62226
11,1429804099106,1429804159489,60383
12,1429804159499,1429804217628,58129
13,1429804217640,1429804276063,58423
14,1429804276072,1429804332094,56022
15,1429804332102,1429804389382,57280
16,1429804389391,1429804448209,58818
17,1429804448218,1429804507611,59393
18,1429804507620,1429804566402,58782
19,1429804566410,1429804624449,58039
20,1429804624458,1429804681089,56631
