%mMulti_CPLocks
1,1429733616301,1429734113699,497398,0,9000000,0,0
2,1429734114000,1429734522063,408063,0,9000000,0,0
3,1429734522398,1429734866204,343806,0,9000000,0,0
4,1429734866471,1429735026638,160167,0,9000000,0,0
5,1429735026911,1429735179435,152524,0,9000000,0,0
6,1429735179728,1429735327683,147955,0,9000000,0,0
7,1429735328067,1429735426323,98256,0,9000000,0,0
8,1429735426460,1429735479218,52758,0,9000000,0,0
9,1429735479377,1429735534191,54814,0,9000000,0,0
10,1429735534325,1429735585380,51055,0,9000000,0,0
11,1429735585532,1429735636220,50688,0,9000000,0,0
12,1429735636378,1429735684313,47935,0,9000000,0,0
13,1429735684486,1429735732251,47765,0,9000000,0,0
14,1429735732363,1429735778132,45769,0,9000000,0,0
15,1429735778259,1429735823295,45036,0,9000000,0,0
16,1429735823405,1429735867644,44239,0,9000000,0,0
17,1429735867753,1429735910894,43141,0,9000000,0,0
18,1429735911003,1429735954187,43184,0,9000000,0,0
19,1429735954374,1429735996357,41983,0,9000000,0,0
20,1429735996485,1429736040755,44270,0,9000000,0,0
%mMulti_CPLocks
1,1429736433260,1429736699737,266477,0,9000000,0,0
2,1429736699844,1429736835312,135468,0,9000000,0,0
3,1429736835436,1429736928483,93047,26,8999922,52,104
4,1429736928603,1429736998331,69728,7,8999962,31,62
5,1429736998451,1429737054315,55864,10,8999939,51,102
6,1429737054431,1429737104788,50357,3019,8996361,620,1240
7,1429737104912,1429737157836,52924,3017,8996715,268,536
8,1429737157958,1429737205667,47709,3020,8996777,203,406
9,1429737205791,1429737247947,42156,18,8999829,153,306
10,1429737248091,1429737290228,42137,22,8999864,114,228
11,1429737290370,1429737331345,40975,16,8999891,93,186
12,1429737331461,1429737369173,37712,22,8999911,67,134
13,1429737369283,1429737406661,37378,18,8999919,63,126
14,1429737406770,1429737444059,37289,24,8999909,67,134
15,1429737444179,1429737481231,37052,25,8999908,67,134
16,1429737481340,1429737518664,37324,27,8999901,72,144
17,1429737518774,1429737555741,36967,131,8999794,75,150
18,1429737555860,1429737592716,36856,26,8999914,60,120
19,1429737592830,1429737629671,36841,23,8999911,66,132
20,1429737629783,1429737666292,36509,27,8999901,72,144
